Aardvark Clear Mine Ltd,01-6729000,01-8729000,6100000
sAB Connectors Ltd,01-6729001,01-8729001,6100001
AB Electronics Assemblies,01-6729002,01-8729002,6100002
TT electronicsAB Hose & Fittings Ltd,01-6729003,01-8729003,6100003
AB Precision (Poole) Ltd,01-6729004,01-8729004,61000004
Abacus Lighting Ltd,01-6729005,01-8729005,6100005
Abbey Hose Co Ltd,01-6729006,01-8729006,6100006
Abbot Brown & Sons Ltd,01-6729007,01-8729007,6100007
GSM Graphic Arts LtdAbbott & Co (Newark) Ltd,01-6729008,01-8729008,6100008
ABI Electronics Ltd,01-6729009,01-8729009,6100009
B.O.B. Stevenson ,01-6729010,01-8729010,6100010
B.Safe Driver Training Ltd,01-6729011,01-8729011,6100011
Babcock Design and Technology,01-6729012,01-8729012,6100012
Babcock Integrated Technology,01-6729013,01-8729013,6100013
Babcock International Group,01-6729014,01-8729014,6100014
Babcock Marine,01-6729015,01-8729015,6100015
Bache Pallets Ltd,01-6729016,01-8729016,6100016
Canberra UK Ltd,01-6729017,01-8729017,6100017
Candeo Vision (UK) Ltd,01-6729018,01-8729018,6100018
Canland UK (Hot Pack) Ltd,01-6729019,01-8729019,6100019
Capalex,01-6729020,01-8729020,6100020
Capital Aluminium Extrusions,01-6729021,01-8729021,6100021
Caparo Dynamics,01-6729022,01-8729022,6100022
Caparo Testing Technologies,01-6729023,01-8729023,610003
CAPCIS Ltd,01-6729024,01-8729024,6100024
Intertek-CAPCISCape Warwick Ltd,01-6729025,01-8729025,6100025
Capital Aluminium Extrusions,01-6729026,01-8729026,6100026
Capital Controls Ltd,01-6729027,01-8729027,6100027
Severn Trent Services Ltd,01-6729028,01-8729028,6100028
Capital International Staffing Ltd,01-6729029,01-8729029,6100029
Dales Power Solutions Ltd,01-6729030,01-8729030,6100030
Dana Corporation,01-6729031,01-8729031,6100031
Daniamant Ltd,01-6729032,01-8729032,6100032
Edgar Brothers,01-6729033,01-8729033,6100033
Edge Enviro Services Ltd,01-6729034,01-8729034,6100034
The Edge Picture Co Ltd,01-6729035,01-8729035,6100035
Faldingworth Defence Ltd,01-6729036,01-8729036,6100036
Falon Nameplates Ltd,01-6729037,01-8729037,6100037
Far-Side Marketing Ltd,01-6729038,01-8729038,6100038
G & J Logistics Ltd,01-6729039,01-8729039,6100039
G & M Power Plant Ltd,01-6729040,01-8729040,6100040
Hawkmoor Ltd,01-6729041,01-8729041,6100041
Heckler & Koch,01-6729042,01-8729042,6100042
IA Technology Ltd,01-6729043,01-8729043,6100043
IB Industries,01-6729044,01-8729044,6100044
ICA Solutions Ltd,01-6729046,01-8729046,6100045
Icon Polymer Ltd,01-6729047,01-8729047,6100046
Jacksons Fencing,01-6729048,01-8729048,6100047
Jactron,01-6729049,01-8729049,6100049
Jack Ellis Body Protection,01-672905001-8729050,6100050
K2 Analysis Ltd,01-6729051,018729051,6100051
Kaba Ltd,01-6729052,01-8729052,6100052
Laerdal Medical Ltd,01-6729053,01-8729053,6100053
Law Enforcement International Ltd,01-6729054,01-8729054,6100054
MacTaggart, Scott & Company Ltd,01-6729055,01-8729055,6100055
Magnum,01-6729056,01-8729056,6100056
Nazeing Glass Works Ltd,01-6729057,01-8729057,6100057
NB Metals Ltd,01-6729058,01-8729058,6100058
NBT Ltd,01-6729059,01-8729059,6100059
Oakenhurst Aircraft Services Ltd,01-6729060,01-8729060,6100060
Oakes Eddon Limited,01-6729061,01-8729061,6100061
P & R Hydraulics Ltd,01-6729062,01-8729062,6100062
P & R Labpak Ltd,01-6729063,01-8729063,6100063
QAD Networks Ltd,01-6729064,01-8729064,6100064
QCL Ltd,01-67290065,01-8729065,6100065
Rack International,01-6729066,01-8729066,6100066
Racks Industries Ltd,01-6729067,01-8729067,6100067
S.Com (Defence Division),01-6729068,01-8729068,6100068
S.E.P Clyde see Clyde Fasteners Ltd,01-6729069,01-8729069,6100069
S2S Electronics Ltd,01-6729070,01-8729070,6100070
Tactek Services Ltd,01-6729071,01-8729071,6100071
Tactical Coatings,01-6729072,01-8729072,6100072
UK National Codification Bureau,01-6729073,01-8729073,6100073
UK Racing Castings,01-6729074,01-8729074,6100074
Vacuum Reflex,01-6729075,01-8729075,6100075
Vados Systems,01-6729076,01-8729076,6100076
Wall to Wall Communications Ltd,01-6729077,01-8729077,6100077
Wallis Autogyros,01-6729078,01-8729078,6100078
XJTAG,01-6729079,01-8729079,6100079
Xpedite Group of Companies Ltd,01-6729080,01-8729080,6100080
XPI Simulation Ltd,01-6729081,01-8729081,6100081
XRE Ltd,01-6729082,01-8729082,6100082
Yarl Hydracentre Ltd,01-6729083,01-8729083,6100083
YF Furniture Ltd,01-6729084,01-8729084,6100084
Zareba Security,01-6729085,01-8729085,6100085
Zarges (UK) Ltd,01-6729086,01-8729086,6100086
Zaun Ltd,01-6729087,01-8729087,6100087
Zaggora,01-6729088,01-8729088,6100088
Quinn,01-6729089,01-8729089,6100089
FakeCompany,01-6729090,01-8729090,6100090
Dunnes Stores,01-6729091,01-8729091,6100091
Tom Duffy Architects,01-6729092,01-8729092,6100092
IIPMM,01-6729093,01-8729093,6100093
ABBA Ltd,01-6729094,01-8729094,6100094
Ciroco Ltd,01-6729095,01-8729095,6100095
TPSA,01-6729096,01-8729096,6100096
Cineworld Ltd,01-6729097,01-8729097,6100097
Tesco,01-6729098,01-8729098,6100098
Lidl,01-6729099,01-8729099,6100099
Vogue,01-6729100,01-8729100,6100100
