Aardvark Clear Mine Ltd,01-6729000,01-8729000,6100000
sAB Connectors Ltd,01-6729001,01-8729001,6100001
AB Electronics Assemblies,01-6729002,01-8729002,6100002
TT electronicsAB Hose & Fittings Ltd,01-6729003,01-8729003,6100003
AB Precision (Poole) Ltd,01-6729004,01-8729004,61000004
Abacus Lighting Ltd,01-6729005,01-8729005,6100005
Abbey Hose Co Ltd,01-6729006,01-8729006,6100006
Abbot Brown & Sons Ltd,01-6729007,01-8729007,6100007
GSM Graphic Arts LtdAbbott & Co (Newark) Ltd,01-6729008,01-8729008,6100008
ABI Electronics Ltd,01-6729009,01-8729009,6100009
